alpha,gamma,episodes,eps_start,eps_end,eps_decay,seed,win_rate,draw_rate,loss_rate,avg_return,wins,losses,draws,train_time_s,eval_time_s,curve_path
0.05,1.0,50000,1.0,0.05,0.9995,42,0.42355,0.09291,0.48354,-0.05998999997973442,20383,25281,4336,0.3208,0.445,curves\curve_alpha0.05_gamma1.0_eps50000_seed42.png
0.05,1.0,100000,1.0,0.05,0.9995,42,0.42645,0.09397,0.47958,-0.053130000829696655,41066,50116,8818,0.6485,0.4441,curves\curve_alpha0.05_gamma1.0_eps100000_seed42.png
0.05,1.0,200000,1.0,0.05,0.9995,42,0.42131,0.09558,0.48311,-0.061799999326467514,82381,99662,17957,1.2992,0.4498,curves\curve_alpha0.05_gamma1.0_eps200000_seed42.png
0.1,1.0,50000,1.0,0.05,0.9995,42,0.41712,0.09332,0.48956,-0.0724399983882904,20167,25351,4482,0.3296,0.4912,curves\curve_alpha0.1_gamma1.0_eps50000_seed42.png
0.1,1.0,100000,1.0,0.05,0.9995,42,0.41959,0.09301,0.4874,-0.06780999898910522,40660,50399,8941,0.6651,0.4603,curves\curve_alpha0.1_gamma1.0_eps100000_seed42.png
0.1,1.0,200000,1.0,0.05,0.9995,42,0.42223,0.09482,0.48295,-0.06072000041604042,81667,100370,17963,1.3057,0.4541,curves\curve_alpha0.1_gamma1.0_eps200000_seed42.png
0.2,1.0,50000,1.0,0.05,0.9995,42,0.41466,0.0894,0.49594,-0.08128000050783157,20145,25605,4250,0.3297,0.4552,curves\curve_alpha0.2_gamma1.0_eps50000_seed42.png
0.2,1.0,100000,1.0,0.05,0.9995,42,0.42023,0.08854,0.49123,-0.07100000232458115,40515,50828,8657,0.6477,0.4504,curves\curve_alpha0.2_gamma1.0_eps100000_seed42.png
0.2,1.0,200000,1.0,0.05,0.9995,42,0.41507,0.09067,0.49426,-0.07919000089168549,81023,101281,17696,1.3301,0.4642,curves\curve_alpha0.2_gamma1.0_eps200000_seed42.png
